Time;Symbol;CurrentPrice;M15MA7;M15MA13;M15MA26;M15MA52;M15MA104;M15MA208;M15BOLL132U;M15BOLL132L;M15KDJ853M;M15KDJ853S;M15RSI14;M15MA180;M15MA360;M15MA540;H1MA7;H1MA13;H1MA26;H1MA52;H1MA104;H1MA208;H1BOLL132U;H1BOLL132L;H1KDJ853M;H1KDJ853S;H1RSI14;H1MA180;H1MA360;H1MA540;H4KDJ853M;iBOLL;zM15KDJ;zH1KDJ
2015.02.23 07:08:59;EURUSD;1.13815;1.13823;1.13837;1.13795;1.13807;1.13583;1.13734;1.13884;1.1379;19;25;51;1.13669;1.1382;1.13827;1.13803;1.1382;1.13605;1.13732;1.1379;1.13703;1.13942;1.13697;56;44;55;1.13792;1.13733;1.13597;65;0;;
2015.02.23 07:09:28;EURUSD;1.13816;1.13823;1.13837;1.13795;1.13807;1.13583;1.13734;1.13884;1.1379;20;25;51;1.13669;1.1382;1.13827;1.13803;1.1382;1.13606;1.13732;1.1379;1.13703;1.13942;1.13697;56;44;55;1.13792;1.13733;1.13597;66;0;;
2015.02.23 07:09:59;EURUSD;1.13815;1.13823;1.13837;1.13795;1.13807;1.13583;1.13734;1.13884;1.1379;19;25;51;1.13669;1.1382;1.13827;1.13803;1.1382;1.13605;1.13732;1.1379;1.13703;1.13942;1.13697;56;44;55;1.13792;1.13733;1.13597;65;0;;
2015.02.23 07:10:29;EURUSD;1.13814;1.13822;1.13837;1.13795;1.13807;1.13583;1.13734;1.13884;1.13789;18;24;50;1.13669;1.1382;1.13827;1.13803;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13696;55;44;55;1.13792;1.13733;1.13597;65;0;;
2015.02.23 07:10:59;EURUSD;1.13805;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13787;15;24;49;1.13669;1.1382;1.13827;1.13802;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:11:29;EURUSD;1.13803;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;14;24;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:11:59;EURUSD;1.13803;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;14;24;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:12:29;EURUSD;1.13803;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;14;24;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:13:16;EURUSD;1.13805;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13787;15;24;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:13:51;EURUSD;1.13803;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;14;24;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:14:21;EURUSD;1.13803;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;14;24;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:14:51;EURUSD;1.13805;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;14;24;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:15:21;EURUSD;1.13804;1.13815;1.13832;1.13795;1.13811;1.13584;1.13733;1.13887;1.13778;13;19;49;1.13666;1.13819;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;0;;
2015.02.23 07:15:51;EURUSD;1.13799;1.13814;1.13832;1.13794;1.13811;1.13584;1.13733;1.13888;1.13776;9;18;48;1.13666;1.13819;1.13827;1.13801;1.13818;1.13605;1.13732;1.1379;1.13703;1.13942;1.13694;54;44;54;1.13792;1.13733;1.13597;65;0;;
2015.02.23 07:16:21;EURUSD;1.13797;1.13814;1.13832;1.13794;1.13811;1.13584;1.13733;1.13888;1.13776;9;18;48;1.13666;1.13819;1.13827;1.138;1.13818;1.13605;1.13732;1.1379;1.13703;1.13942;1.13694;54;44;54;1.13792;1.13733;1.13597;65;0;;
2015.02.23 07:16:51;EURUSD;1.13792;1.13813;1.13831;1.13794;1.13811;1.13584;1.13733;1.13889;1.13774;12;19;48;1.13666;1.13819;1.13827;1.138;1.13818;1.13605;1.13732;1.1379;1.13703;1.13942;1.13693;54;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:17:21;EURUSD;1.13782;1.13812;1.13831;1.13794;1.1381;1.13584;1.13733;1.13891;1.1377;8;18;47;1.13666;1.13819;1.13827;1.13798;1.13817;1.13604;1.13732;1.1379;1.13703;1.13942;1.13692;53;43;53;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:18:02;EURUSD;1.13782;1.13812;1.13831;1.13794;1.1381;1.13584;1.13733;1.13891;1.1377;8;18;46;1.13666;1.13819;1.13827;1.13798;1.13817;1.13604;1.13732;1.1379;1.13703;1.13942;1.13692;53;43;53;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:18:47;EURUSD;1.13775;1.13811;1.1383;1.13794;1.1381;1.13583;1.13733;1.13893;1.13768;8;18;46;1.13666;1.13819;1.13827;1.13798;1.13817;1.13604;1.13732;1.1379;1.13703;1.13943;1.13691;53;43;53;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:19:17;EURUSD;1.13773;1.13811;1.1383;1.13793;1.1381;1.13583;1.13733;1.13893;1.13767;8;18;46;1.13666;1.13819;1.13827;1.13797;1.13816;1.13604;1.13731;1.1379;1.13703;1.13943;1.1369;52;43;53;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:19:44;EURUSD;1.13773;1.13811;1.1383;1.13793;1.1381;1.13583;1.13733;1.13893;1.13767;8;18;46;1.13666;1.13819;1.13827;1.13797;1.13816;1.13604;1.13731;1.1379;1.13703;1.13943;1.1369;52;43;53;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:19:44;EURUSD;1.13773;1.13811;1.1383;1.13793;1.1381;1.13583;1.13733;1.13893;1.13767;8;18;46;1.13666;1.13819;1.13827;1.13797;1.13816;1.13604;1.13731;1.1379;1.13703;1.13943;1.1369;52;43;53;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:22:27;EURUSD;1.13768;1.1381;1.1383;1.13793;1.1381;1.13583;1.13733;1.13894;1.13765;9;18;45;1.13666;1.13819;1.13827;1.13796;1.13816;1.13604;1.13731;1.1379;1.13703;1.13943;1.13689;52;43;53;1.13791;1.13733;1.13597;64;-7;;
2015.02.23 07:22:56;EURUSD;1.13764;1.13809;1.13829;1.13793;1.1381;1.13583;1.13733;1.13896;1.13763;8;18;45;1.13666;1.13819;1.13827;1.13796;1.13816;1.13604;1.13731;1.1379;1.13703;1.13943;1.13688;52;43;52;1.13791;1.13733;1.13597;64;-7;;
2015.02.23 07:23:17;EURUSD;1.13758;1.13808;1.13829;1.13793;1.1381;1.13583;1.13733;1.13897;1.1376;7;18;44;1.13666;1.13819;1.13827;1.13795;1.13815;1.13603;1.13731;1.1379;1.13703;1.13944;1.13686;51;43;52;1.13791;1.13733;1.13597;64;-7;;
2015.02.23 07:23:17;EURUSD;1.13758;1.13808;1.13829;1.13793;1.1381;1.13583;1.13733;1.13897;1.1376;7;18;44;1.13666;1.13819;1.13827;1.13795;1.13815;1.13603;1.13731;1.1379;1.13703;1.13944;1.13686;51;43;52;1.13791;1.13733;1.13597;64;-7;;
2015.02.23 07:24:26;EURUSD;1.13754;1.13808;1.13829;1.13793;1.1381;1.13583;1.13733;1.13899;1.13759;7;18;44;1.13666;1.13819;1.13827;1.13794;1.13815;1.13603;1.13731;1.1379;1.13703;1.13944;1.13685;51;43;52;1.13791;1.13733;1.13597;64;-7;;
2015.02.23 07:24:56;EURUSD;1.13763;1.13809;1.13829;1.13793;1.1381;1.13583;1.13733;1.13896;1.13763;11;19;44;1.13666;1.13819;1.13827;1.13796;1.13816;1.13603;1.13731;1.1379;1.13703;1.13943;1.13688;52;43;52;1.13791;1.13733;1.13597;64;-7;;
2015.02.23 07:25:27;EURUSD;1.13761;1.13809;1.13829;1.13793;1.1381;1.13583;1.13733;1.13897;1.13762;10;18;44;1.13666;1.13819;1.13827;1.13795;1.13815;1.13603;1.13731;1.1379;1.13703;1.13944;1.13687;51;43;52;1.13791;1.13733;1.13597;64;-7;;
2015.02.23 07:26:00;EURUSD;1.13757;1.13808;1.13829;1.13793;1.1381;1.13583;1.13733;1.13898;1.1376;8;18;44;1.13666;1.13819;1.13827;1.13795;1.13815;1.13603;1.13731;1.1379;1.13703;1.13944;1.13687;51;43;52;1.13791;1.13733;1.13597;64;-7;;
2015.02.23 07:26:30;EURUSD;1.13762;1.13809;1.13829;1.13793;1.1381;1.13583;1.13733;1.13896;1.13762;11;19;44;1.13666;1.13819;1.13827;1.13795;1.13815;1.13603;1.13731;1.1379;1.13703;1.13944;1.13687;52;43;52;1.13791;1.13733;1.13597;64;-7;;
2015.02.23 07:27:00;EURUSD;1.13765;1.13809;1.13829;1.13793;1.1381;1.13583;1.13733;1.13896;1.13763;12;19;45;1.13666;1.13819;1.13827;1.13796;1.13816;1.13604;1.13731;1.1379;1.13703;1.13943;1.13688;52;43;52;1.13791;1.13733;1.13597;64;-7;;
2015.02.23 07:27:30;EURUSD;1.13763;1.13809;1.13829;1.13793;1.1381;1.13583;1.13733;1.13896;1.13763;11;19;44;1.13666;1.13819;1.13827;1.13796;1.13816;1.13603;1.13731;1.1379;1.13703;1.13943;1.13688;52;43;52;1.13791;1.13733;1.13597;64;-7;;
